Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,40.85,0.998,0.0995,0.0092
Gaussian,40.88,0.9981,0.0991,0.009
Gaussian,40.77,0.9968,0.1041,0.0086
Gaussian,41.03,0.9978,0.0978,0.0091
Gaussian,41.1,0.9985,0.0903,0.0097
Gaussian,41.13,0.9985,0.0961,0.0092
Gaussian,41.07,0.9984,0.0958,0.009
Gaussian,40.6,0.9978,0.0972,0.0091
Gaussian,40.7,0.9972,0.0955,0.0087
Gaussian,40.63,0.9974,0.1076,0.0092
Gaussian,40.54,0.9977,0.1039,0.009
Gaussian,40.81,0.9981,0.0973,0.009
Gaussian,40.97,0.9981,0.0946,0.0088
Gaussian,40.72,0.9969,0.1034,0.0095
Gaussian,41.13,0.9979,0.0973,0.0093
Gaussian,40.97,0.9981,0.0942,0.0092
Gaussian,40.86,0.9983,0.0992,0.009
Gaussian,41.11,0.9985,0.0958,0.009
Gaussian,40.59,0.9967,0.105,0.009
Gaussian,40.61,0.9978,0.0971,0.009
Gaussian,40.86,0.9983,0.0995,0.0089
Gaussian,40.72,0.9969,0.1043,0.0089
Gaussian,41.11,0.9985,0.0942,0.0088
Gaussian,40.62,0.9973,0.1079,0.0089
Gaussian,41.01,0.9981,0.1003,0.0089
Gaussian,41.11,0.9979,0.0974,0.0088
Gaussian,40.45,0.9976,0.118,0.0088
Gaussian,41.02,0.9979,0.0986,0.0091
Gaussian,41.13,0.9986,0.0939,0.0092
Gaussian,40.6,0.9967,0.1047,0.009
Gaussian,40.85,0.9983,0.0993,0.0091
Gaussian,41.05,0.9969,0.0987,0.0089
Gaussian,40.39,0.9975,0.1195,0.0088
Gaussian,41.05,0.998,0.1004,0.0091
Gaussian,40.87,0.998,0.099,0.0095
Gaussian,41.13,0.9986,0.0938,0.009
Gaussian,40.68,0.9972,0.0959,0.0089
Gaussian,40.85,0.998,0.0994,0.0089
Gaussian,40.86,0.998,0.0991,0.009
Gaussian,40.65,0.9974,0.1073,0.0088
Gaussian,40.97,0.9984,0.0936,0.0089
Gaussian,40.61,0.9978,0.1024,0.009
Gaussian,41.05,0.9969,0.099,0.0089
Gaussian,40.51,0.9964,0.103,0.0089
Gaussian,41.18,0.9984,0.0942,0.0091
Gaussian,40.81,0.9975,0.104,0.0091
Gaussian,41.01,0.9981,0.1003,0.0088
Gaussian,40.42,0.9976,0.1187,0.0092
Gaussian,41.13,0.9986,0.0939,0.009
Gaussian,41.09,0.9984,0.0956,0.0089
Gaussian,41.0,0.9979,0.0987,0.009
Gaussian,40.5,0.9964,0.1037,0.0091
Gaussian,40.69,0.9963,0.109,0.0095
Gaussian,41.12,0.9979,0.0972,0.0091
Gaussian,40.61,0.9978,0.097,0.0089
Gaussian,40.67,0.9966,0.1058,0.0094
Gaussian,41.08,0.9982,0.0994,0.0088
Gaussian,41.04,0.9985,0.0929,0.0091
Gaussian,40.64,0.9978,0.0966,0.0088
Gaussian,40.98,0.998,0.1005,0.0089
Gaussian,40.5,0.9964,0.1036,0.009
Gaussian,41.01,0.9979,0.0983,0.009
Gaussian,40.7,0.9971,0.0956,0.0088
Gaussian,41.12,0.9979,0.0973,0.0089
Gaussian,41.13,0.9986,0.0936,0.009
Gaussian,40.39,0.9975,0.1193,0.0092
Gaussian,40.83,0.9975,0.1037,0.0091
Gaussian,40.47,0.9963,0.1036,0.009
Gaussian,40.68,0.9963,0.109,0.0091
Gaussian,41.17,0.9984,0.0946,0.0091
Gaussian,40.79,0.9982,0.0973,0.0094
Gaussian,40.78,0.9974,0.1043,0.009
Gaussian,40.5,0.9964,0.1035,0.0091
Gaussian,40.45,0.9976,0.1179,0.0092
Gaussian,41.05,0.9969,0.0989,0.0089
Gaussian,41.03,0.9979,0.0983,0.0096
Gaussian,41.19,0.9984,0.0943,0.009
Gaussian,40.61,0.9979,0.1023,0.0089
Gaussian,40.97,0.9984,0.0931,0.0092
Gaussian,40.62,0.9968,0.1044,0.0095
Gaussian,41.02,0.9969,0.0993,0.0093
Gaussian,40.81,0.998,0.0997,0.0092
Gaussian,40.95,0.9981,0.0941,0.0091
Gaussian,40.79,0.9975,0.1045,0.009
Gaussian,40.81,0.9975,0.1041,0.0089
Gaussian,40.83,0.9975,0.1038,0.009
Gaussian,40.79,0.9974,0.0987,0.009
Gaussian,40.98,0.9984,0.0948,0.009
Gaussian,41.19,0.9984,0.0944,0.0091
Gaussian,41.14,0.9986,0.0936,0.0092
Gaussian,40.78,0.9974,0.0991,0.0088
Gaussian,41.03,0.9969,0.0991,0.009
Gaussian,41.0,0.998,0.0936,0.0089
Gaussian,40.73,0.997,0.103,0.0091
Gaussian,40.85,0.9981,0.0972,0.0088
Gaussian,40.97,0.9978,0.099,0.0089
Gaussian,40.81,0.9974,0.0983,0.009
Gaussian,40.68,0.9969,0.1035,0.0089
Gaussian,40.71,0.9969,0.1041,0.009
Gaussian,40.86,0.9983,0.0991,0.0089
Gaussian,40.59,0.9968,0.1048,0.0089
Gaussian,40.73,0.997,0.1037,0.0089
Gaussian,40.84,0.9975,0.1035,0.0091
Gaussian,40.87,0.9981,0.0991,0.009
Gaussian,41.17,0.9985,0.0956,0.009
Gaussian,40.86,0.9983,0.0988,0.009
Gaussian,41.11,0.9984,0.0961,0.0088
Gaussian,40.73,0.9969,0.1039,0.0092
Gaussian,40.94,0.998,0.0949,0.0092
Gaussian,40.5,0.9964,0.1037,0.0089
Gaussian,40.39,0.9975,0.1194,0.0088
Gaussian,41.14,0.9979,0.0973,0.0092
Gaussian,40.99,0.9985,0.0935,0.0089
Gaussian,41.04,0.9969,0.0991,0.009
Gaussian,41.06,0.9984,0.0955,0.009
Gaussian,40.85,0.9983,0.0997,0.0091
Gaussian,40.51,0.9964,0.1032,0.0091
Gaussian,40.65,0.9974,0.1074,0.009
Gaussian,40.98,0.9984,0.0936,0.0092
Gaussian,41.13,0.9979,0.0972,0.009
Gaussian,40.68,0.9963,0.1088,0.0087
Gaussian,41.12,0.9979,0.0973,0.009
Gaussian,41.04,0.9969,0.0994,0.0089
Gaussian,41.12,0.9986,0.094,0.0092
Gaussian,41.17,0.9984,0.0944,0.0093
Gaussian,41.04,0.9981,0.0999,0.0092
Gaussian,40.62,0.9968,0.1044,0.0095
Gaussian,40.86,0.9983,0.0994,0.0093
Gaussian,40.75,0.9967,0.1045,0.0091
Gaussian,41.16,0.9984,0.0945,0.0088
Gaussian,41.1,0.9985,0.0901,0.0087
Gaussian,40.81,0.9982,0.0971,0.009
Gaussian,40.79,0.9967,0.1042,0.0092
Gaussian,40.94,0.9982,0.0934,0.0091
Gaussian,40.97,0.9981,0.0936,0.0089
Gaussian,40.56,0.9977,0.1034,0.0089
Gaussian,40.65,0.9967,0.1041,0.0086
Gaussian,40.66,0.9968,0.1015,0.009
Gaussian,41.09,0.9968,0.1019,0.0088
Gaussian,40.97,0.9976,0.1048,0.0088
Gaussian,39.95,0.9958,0.1141,0.01
Gaussian,40.91,0.9976,0.0994,0.0096
Gaussian,40.95,0.9976,0.1012,0.0108
Gaussian,40.89,0.9968,0.1,0.0103
Gaussian,40.86,0.9968,0.102,0.009
Gaussian,40.4,0.9974,0.1051,0.0087
Gaussian,40.94,0.9968,0.1017,0.0092
Gaussian,40.91,0.9968,0.0998,0.0091
Gaussian,40.83,0.9978,0.1046,0.009
Gaussian,40.59,0.9967,0.1042,0.0089
Gaussian,40.44,0.9974,0.1037,0.0091
Gaussian,40.79,0.9972,0.1087,0.0086
Gaussian,40.68,0.9971,0.1095,0.0088
Gaussian,41.35,0.9969,0.0983,0.0087
Gaussian,40.83,0.9971,0.1088,0.0091
Gaussian,40.72,0.9972,0.1102,0.0091
Gaussian,40.66,0.997,0.1104,0.0089
Gaussian,40.98,0.9979,0.0998,0.0089
Gaussian,40.7,0.9969,0.1001,0.0091
Gaussian,40.73,0.9967,0.1035,0.0087
Gaussian,40.83,0.9976,0.1,0.0088
Gaussian,39.76,0.9956,0.1183,0.009
Gaussian,41.1,0.9967,0.102,0.0089
Gaussian,40.05,0.9956,0.1116,0.0096
Gaussian,40.63,0.9968,0.1022,0.009
Gaussian,39.88,0.9958,0.1147,0.0089
Gaussian,40.89,0.9969,0.0994,0.009
Gaussian,40.68,0.9966,0.1053,0.0089
Gaussian,40.67,0.997,0.1,0.0092
Gaussian,41.25,0.997,0.0985,0.0088
Gaussian,40.56,0.9965,0.1084,0.0088
Gaussian,40.53,0.9967,0.1053,0.0089
Gaussian,40.67,0.997,0.0999,0.0088
Gaussian,40.56,0.9966,0.1069,0.009
Gaussian,40.65,0.9968,0.1018,0.0096
Gaussian,40.02,0.9956,0.1113,0.0092
Gaussian,40.49,0.9962,0.1074,0.009
Gaussian,40.74,0.9971,0.1086,0.0089
Gaussian,40.55,0.9969,0.1025,0.0089
Gaussian,40.78,0.9967,0.1105,0.009
Gaussian,40.67,0.9968,0.101,0.0094
Gaussian,40.93,0.9968,0.1017,0.0091
Gaussian,39.83,0.9958,0.1154,0.0087
Gaussian,40.7,0.997,0.109,0.0087
Gaussian,40.8,0.9967,0.1039,0.0094
Gaussian,40.58,0.9967,0.1043,0.0093
Gaussian,40.07,0.9956,0.1116,0.0091
Gaussian,39.81,0.9957,0.1158,0.0087
Gaussian,40.57,0.9969,0.1022,0.0089
Gaussian,40.93,0.9978,0.1038,0.0088
Gaussian,40.6,0.997,0.1014,0.009
Gaussian,41.06,0.9969,0.1031,0.0091
Gaussian,40.95,0.998,0.1028,0.0087
Gaussian,40.98,0.9966,0.1039,0.0086
Gaussian,40.43,0.9967,0.1073,0.009
Gaussian,40.68,0.9971,0.1095,0.0089
Gaussian,40.83,0.9975,0.1057,0.0091
Gaussian,40.5,0.9967,0.1072,0.009
Gaussian,40.91,0.9969,0.0997,0.009
Gaussian,40.41,0.9965,0.1145,0.0089
Gaussian,40.35,0.9962,0.1164,0.0087
Gaussian,40.65,0.9968,0.1021,0.0088
Gaussian,40.65,0.9969,0.1006,0.0092
Gaussian,40.85,0.9974,0.1017,0.0088
Gaussian,40.38,0.9972,0.1097,0.0087
Gaussian,40.53,0.9966,0.1135,0.009
Gaussian,40.77,0.9967,0.1037,0.009
Gaussian,40.91,0.9969,0.1009,0.009
Gaussian,40.36,0.9961,0.1119,0.0088
Gaussian,41.08,0.9967,0.1012,0.0092
Gaussian,40.53,0.9966,0.1066,0.0088
Gaussian,40.94,0.9967,0.104,0.0087
Gaussian,40.81,0.9977,0.099,0.0091
Gaussian,40.5,0.9967,0.1065,0.0093
Gaussian,40.52,0.9963,0.106,0.009
Gaussian,40.16,0.9957,0.1181,0.009
Gaussian,41.22,0.997,0.0987,0.009
Gaussian,40.55,0.9965,0.1085,0.0089
Gaussian,40.94,0.9979,0.1036,0.0091
Gaussian,40.75,0.9974,0.1023,0.009
Gaussian,40.36,0.9961,0.1091,0.009
Gaussian,40.74,0.9968,0.1027,0.0093
Gaussian,41.19,0.997,0.099,0.009
Gaussian,39.83,0.9956,0.1159,0.0091
Gaussian,40.47,0.9965,0.1065,0.009
Gaussian,40.95,0.9977,0.0984,0.0091
Gaussian,40.62,0.9968,0.101,0.0091
Gaussian,40.42,0.9965,0.1145,0.009
Gaussian,40.71,0.9973,0.1099,0.0088
Gaussian,40.95,0.9979,0.1001,0.0089
Gaussian,40.98,0.9967,0.1037,0.0089
Gaussian,40.94,0.9977,0.1009,0.009
Gaussian,40.48,0.9963,0.1063,0.0093
Gaussian,40.6,0.9968,0.1043,0.0091
Gaussian,41.06,0.9981,0.1035,0.0088
Gaussian,40.95,0.9967,0.1036,0.0091
Gaussian,40.84,0.9976,0.0993,0.0097
Gaussian,40.6,0.9968,0.105,0.0097
Gaussian,40.66,0.9967,0.1011,0.009
Gaussian,40.42,0.9974,0.1055,0.0092
Gaussian,40.69,0.9968,0.1038,0.0089
Gaussian,41.14,0.9967,0.1014,0.0088
Gaussian,41.09,0.9967,0.1014,0.0088
Gaussian,40.72,0.9973,0.1094,0.0086
Gaussian,40.77,0.9971,0.1082,0.0095
Gaussian,40.62,0.9967,0.1042,0.009
Gaussian,40.71,0.9974,0.1032,0.0088
Gaussian,40.68,0.9974,0.1081,0.0089
Gaussian,41.21,0.9972,0.1031,0.0089
Gaussian,40.04,0.9956,0.1113,0.0091
Gaussian,41.24,0.997,0.0988,0.009
Gaussian,40.41,0.9975,0.1039,0.009
Gaussian,41.23,0.997,0.0988,0.0092
Gaussian,40.69,0.9963,0.1111,0.0089
Gaussian,40.02,0.9955,0.1121,0.0092
Gaussian,41.23,0.9972,0.1035,0.0092
Gaussian,40.92,0.9978,0.1009,0.0088
Gaussian,39.92,0.9958,0.1142,0.009
Gaussian,41.06,0.9977,0.1041,0.0094
Gaussian,40.42,0.996,0.1125,0.009
Gaussian,40.65,0.9968,0.102,0.0095
Gaussian,40.78,0.9971,0.1073,0.009
Gaussian,40.57,0.997,0.1027,0.0089
Gaussian,40.88,0.9969,0.0999,0.0089
Gaussian,40.43,0.9974,0.1051,0.0086
Gaussian,41.1,0.9968,0.101,0.0089
Gaussian,40.94,0.9968,0.1015,0.0091
Gaussian,40.94,0.9969,0.0997,0.009
Gaussian,40.89,0.997,0.0998,0.0088
Gaussian,40.32,0.9964,0.108,0.0091
Gaussian,40.76,0.9972,0.1095,0.0094
Gaussian,40.55,0.9966,0.1072,0.0088
Gaussian,41.29,0.9972,0.1013,0.009
Gaussian,40.63,0.9969,0.101,0.009
Gaussian,40.69,0.9966,0.1037,0.0094
Gaussian,40.88,0.9978,0.1045,0.0095
Gaussian,41.0,0.9974,0.1049,0.0101
Gaussian,40.94,0.9967,0.1039,0.0091
Gaussian,41.1,0.997,0.0999,0.0088
Gaussian,41.23,0.9972,0.1033,0.0089
Gaussian,40.76,0.9973,0.1081,0.009
Gaussian,40.74,0.9984,0.0989,0.009
Gaussian,40.93,0.9977,0.0987,0.009
Gaussian,40.62,0.9982,0.0986,0.0091
Gaussian,41.2,0.9978,0.0991,0.0088
Gaussian,40.92,0.9981,0.1026,0.009
Gaussian,40.71,0.9983,0.0999,0.0091
Gaussian,40.6,0.9975,0.1031,0.0091
Gaussian,40.82,0.9976,0.0995,0.0089
Gaussian,41.14,0.9977,0.1005,0.0089
Gaussian,40.67,0.9979,0.1028,0.0086
Gaussian,40.85,0.998,0.1018,0.0089
Gaussian,40.89,0.9981,0.0999,0.0097
Gaussian,40.5,0.9976,0.1025,0.0092
Gaussian,41.04,0.9984,0.0994,0.009
Gaussian,40.96,0.9981,0.0983,0.0092
Gaussian,40.97,0.9978,0.0982,0.0092
Gaussian,41.0,0.9982,0.1022,0.009
Gaussian,40.99,0.9978,0.0985,0.0087
Gaussian,40.82,0.998,0.0996,0.009
Gaussian,40.68,0.9976,0.1036,0.0088
Gaussian,40.61,0.9971,0.1024,0.0089
Gaussian,40.87,0.9967,0.0998,0.0087
Gaussian,40.77,0.998,0.0991,0.009
Gaussian,40.66,0.9976,0.1001,0.0089
Gaussian,40.85,0.9982,0.1,0.0092
Gaussian,40.8,0.9976,0.1049,0.0089
Gaussian,40.89,0.9983,0.1,0.0088
Gaussian,40.84,0.9968,0.098,0.0088
Gaussian,40.9,0.9968,0.0983,0.0091
Gaussian,40.94,0.9982,0.1003,0.0087
Gaussian,40.76,0.9976,0.1051,0.0092
Gaussian,40.91,0.998,0.1035,0.0091
Gaussian,40.66,0.9976,0.1018,0.0089
Gaussian,40.63,0.9978,0.1035,0.0089
Gaussian,40.89,0.998,0.1041,0.0089
Gaussian,40.97,0.9984,0.0997,0.0089
Gaussian,40.55,0.9975,0.1051,0.009
Gaussian,40.97,0.9983,0.1002,0.0099
Gaussian,40.83,0.998,0.0987,0.0104
Gaussian,40.88,0.9975,0.0994,0.01
Gaussian,40.86,0.9981,0.1022,0.0093
Gaussian,40.72,0.9979,0.1011,0.0089
Gaussian,40.67,0.9977,0.102,0.0089
Gaussian,40.38,0.9972,0.1057,0.0089
Gaussian,41.04,0.9981,0.0968,0.0092
Gaussian,40.03,0.9969,0.1129,0.0098
Gaussian,40.83,0.9979,0.0984,0.01
Gaussian,40.84,0.9979,0.1024,0.0089
Gaussian,40.69,0.9977,0.103,0.0088
Gaussian,40.6,0.9976,0.1027,0.0089
Gaussian,40.97,0.9981,0.0984,0.009
Gaussian,40.82,0.9983,0.0992,0.0087
Gaussian,40.99,0.9983,0.098,0.0091
Gaussian,40.68,0.9978,0.1028,0.0088
Gaussian,40.89,0.9976,0.0994,0.0087
Gaussian,40.87,0.9982,0.0999,0.0089
Gaussian,40.35,0.997,0.1049,0.0086
Gaussian,40.88,0.9969,0.0987,0.0089
Gaussian,40.23,0.9971,0.1054,0.0092
Gaussian,40.6,0.9975,0.1007,0.009
Gaussian,40.85,0.9968,0.0988,0.0091
Gaussian,40.75,0.9981,0.1026,0.009
Gaussian,40.86,0.997,0.0968,0.0091
Gaussian,40.57,0.9976,0.1037,0.0089
Gaussian,40.71,0.9973,0.0992,0.009
Gaussian,40.83,0.9978,0.1039,0.0091
Gaussian,40.9,0.9983,0.0992,0.0089
Gaussian,40.5,0.9976,0.1036,0.0094
Gaussian,40.61,0.9971,0.1092,0.0089
Gaussian,40.78,0.9981,0.0997,0.0087
Gaussian,40.68,0.998,0.102,0.0088
Gaussian,40.69,0.9983,0.0958,0.0088
Gaussian,41.06,0.9978,0.0953,0.009
Gaussian,41.05,0.9984,0.0979,0.0092
Gaussian,41.09,0.9983,0.098,0.0088
Gaussian,41.01,0.9981,0.097,0.0086
Gaussian,40.82,0.9975,0.1048,0.0091
Gaussian,40.71,0.9983,0.0978,0.0093
Gaussian,40.74,0.9984,0.097,0.0091
Gaussian,40.75,0.9975,0.1054,0.0087
Gaussian,40.87,0.9981,0.1002,0.0088
Gaussian,40.86,0.9977,0.1029,0.009
Gaussian,40.78,0.9976,0.1042,0.0087
Gaussian,40.85,0.9969,0.0991,0.0092
Gaussian,40.38,0.9973,0.1049,0.0088
Gaussian,41.26,0.9979,0.0988,0.0088
Gaussian,40.95,0.9978,0.0978,0.0089
Gaussian,40.96,0.9981,0.0983,0.0091
Gaussian,40.68,0.9976,0.1039,0.0091
Gaussian,40.61,0.9981,0.0992,0.009
Gaussian,40.81,0.9983,0.1005,0.0089
Gaussian,40.63,0.9972,0.0998,0.0091
Gaussian,40.95,0.9978,0.0986,0.0092
Gaussian,41.24,0.9978,0.0997,0.0096
Gaussian,40.62,0.9978,0.103,0.0092
Gaussian,40.88,0.9979,0.1031,0.0088
Gaussian,40.89,0.998,0.1035,0.009
Gaussian,40.38,0.9975,0.1061,0.0085
Gaussian,40.73,0.9983,0.0971,0.009
Gaussian,40.86,0.9981,0.1012,0.0091
Gaussian,40.44,0.9974,0.1014,0.0089
Gaussian,40.62,0.9976,0.1016,0.0088
Gaussian,40.45,0.9975,0.1036,0.0088
Gaussian,40.53,0.9972,0.1017,0.0089
Gaussian,40.87,0.998,0.0974,0.0091
Gaussian,40.67,0.9979,0.1028,0.0091
Gaussian,40.42,0.9974,0.1039,0.0077
Gaussian,40.32,0.9971,0.1034,0.0083
Gaussian,40.9,0.9983,0.1001,0.0091
Gaussian,40.76,0.998,0.0991,0.0093
Gaussian,40.86,0.998,0.0986,0.0092
Gaussian,40.85,0.998,0.1017,0.0088
Gaussian,40.72,0.9976,0.1033,0.009
Gaussian,40.58,0.9981,0.0988,0.0089
Gaussian,40.15,0.9971,0.1116,0.0091
Gaussian,40.51,0.9975,0.1024,0.0098
Gaussian,40.62,0.9977,0.102,0.0095
Gaussian,40.89,0.9981,0.1007,0.0091
Gaussian,40.92,0.998,0.0991,0.0092
Gaussian,40.77,0.9974,0.1075,0.0091
Gaussian,40.87,0.998,0.102,0.0098
Gaussian,40.51,0.9973,0.1036,0.0092
Gaussian,40.83,0.9981,0.1029,0.0089
Gaussian,40.94,0.9982,0.0985,0.0089
Gaussian,40.82,0.998,0.1053,0.0091
Gaussian,40.89,0.9975,0.1003,0.0091
Gaussian,40.93,0.9982,0.1,0.009
Gaussian,41.26,0.9981,0.0986,0.0091
Gaussian,41.42,0.9987,0.0996,0.009
Gaussian,40.45,0.9973,0.1044,0.009
Gaussian,40.96,0.9981,0.0986,0.0088
Gaussian,40.93,0.9982,0.103,0.009
Gaussian,40.88,0.998,0.0995,0.0089
Gaussian,40.87,0.9985,0.0961,0.0088
Gaussian,40.54,0.9971,0.1026,0.0091
Gaussian,40.76,0.9978,0.1022,0.0089
Gaussian,40.57,0.9976,0.1035,0.009
Gaussian,40.87,0.9983,0.1023,0.009
Gaussian,40.96,0.9981,0.0985,0.0091
Gaussian,40.91,0.998,0.1009,0.0091
Gaussian,40.9,0.9977,0.099,0.0087
Gaussian,40.92,0.9983,0.1,0.0089
Gaussian,40.92,0.9982,0.1002,0.0089
Gaussian,40.41,0.9976,0.1081,0.0092
Gaussian,41.01,0.9984,0.0981,0.0085
Gaussian,41.13,0.9984,0.0977,0.0089
Gaussian,40.76,0.9976,0.1025,0.0088
Gaussian,40.69,0.9982,0.1008,0.0089
Gaussian,40.49,0.9975,0.1,0.0092
Gaussian,40.79,0.998,0.0987,0.0089
Gaussian,40.61,0.9974,0.1006,0.0087
Gaussian,40.83,0.9977,0.1003,0.0089
Gaussian,40.88,0.9983,0.1014,0.0088
Gaussian,40.64,0.9974,0.1022,0.0087
Gaussian,40.47,0.9975,0.1037,0.0089
Gaussian,40.55,0.9976,0.1021,0.009
Gaussian,40.83,0.9981,0.1011,0.0093
Gaussian,40.84,0.9975,0.1,0.0093
Gaussian,41.46,0.9985,0.1002,0.0091
Gaussian,39.91,0.9957,0.1215,0.0091
Gaussian,40.8,0.9969,0.1074,0.0091
Gaussian,39.73,0.9953,0.1279,0.0091
Gaussian,39.86,0.9967,0.1275,0.0092
Gaussian,40.67,0.9978,0.1022,0.0089
Gaussian,39.88,0.9967,0.1269,0.0089
Gaussian,39.67,0.9944,0.1365,0.0091
Gaussian,39.4,0.9947,0.1383,0.009
Gaussian,40.77,0.9979,0.1043,0.0091
Gaussian,40.6,0.9979,0.1039,0.0092
Gaussian,40.27,0.9961,0.1111,0.0088
Gaussian,39.97,0.9951,0.1202,0.0091
Gaussian,40.27,0.997,0.1095,0.0092
Gaussian,40.45,0.9971,0.1068,0.0089
Gaussian,40.91,0.9975,0.107,0.0087
Gaussian,39.98,0.995,0.12,0.0089
Gaussian,40.55,0.9967,0.1171,0.0088
Gaussian,39.99,0.9951,0.1194,0.0093
Gaussian,40.45,0.9974,0.1085,0.0089
Gaussian,39.54,0.9948,0.1314,0.0091
Gaussian,40.56,0.9972,0.1117,0.0089
Gaussian,39.58,0.9954,0.1422,0.0091
Gaussian,40.08,0.9966,0.1234,0.0087
Gaussian,39.61,0.9952,0.1321,0.009
Gaussian,41.44,0.9985,0.1008,0.0091
Gaussian,40.33,0.9973,0.114,0.009
Gaussian,40.42,0.9973,0.1116,0.009
Gaussian,40.11,0.9961,0.1183,0.0086
Gaussian,40.9,0.9972,0.1071,0.0094
Gaussian,40.09,0.996,0.1242,0.009
Gaussian,40.46,0.9974,0.1088,0.0093
Gaussian,40.18,0.9968,0.1216,0.0086
Gaussian,40.55,0.9966,0.1165,0.009
Gaussian,39.53,0.9948,0.1312,0.0089
Gaussian,40.58,0.9973,0.1047,0.0091
Gaussian,40.19,0.9968,0.1213,0.0089
Gaussian,40.61,0.9975,0.1143,0.009
Gaussian,40.35,0.9963,0.1072,0.0087
Gaussian,39.62,0.9957,0.1366,0.0088
Gaussian,40.12,0.9966,0.1189,0.0091
Gaussian,39.61,0.9953,0.1325,0.0093
Gaussian,40.81,0.997,0.1071,0.0091
Gaussian,40.42,0.9971,0.1073,0.0092
Gaussian,39.87,0.9957,0.1275,0.0091
Gaussian,39.62,0.9949,0.1336,0.009
Gaussian,40.52,0.9973,0.1106,0.009
Gaussian,39.49,0.9946,0.139,0.009
Gaussian,40.55,0.9974,0.1151,0.0094
Gaussian,40.46,0.9972,0.1117,0.0091
Gaussian,40.38,0.9972,0.1178,0.0092
Gaussian,40.76,0.9979,0.1039,0.0091
Gaussian,39.6,0.9952,0.132,0.0089
Gaussian,41.46,0.9985,0.0991,0.009
Gaussian,39.49,0.9946,0.1392,0.0089
Gaussian,39.86,0.9957,0.1229,0.009
Gaussian,40.81,0.997,0.1072,0.0091
Gaussian,40.19,0.9967,0.1188,0.0089
Gaussian,40.06,0.997,0.1227,0.0092
Gaussian,39.99,0.9951,0.12,0.0086
Gaussian,39.99,0.9951,0.1195,0.0095
Gaussian,40.06,0.9961,0.1267,0.009
Gaussian,39.46,0.9951,0.142,0.009
Gaussian,40.45,0.9972,0.1065,0.009
Gaussian,40.1,0.9967,0.121,0.0089
Gaussian,40.09,0.9967,0.1231,0.0087
Gaussian,40.13,0.9967,0.1142,0.009
Gaussian,40.49,0.9972,0.1117,0.0088
Gaussian,41.48,0.9985,0.1,0.0088
Gaussian,39.96,0.9965,0.1255,0.0089
Gaussian,39.52,0.9946,0.1332,0.0092
Gaussian,39.45,0.9947,0.1327,0.0095
Gaussian,40.59,0.9973,0.1045,0.009
Gaussian,40.06,0.997,0.1228,0.0091
Gaussian,40.77,0.998,0.1045,0.0091
Gaussian,40.52,0.9968,0.1077,0.009
Gaussian,40.19,0.996,0.1122,0.0095
Gaussian,39.52,0.9946,0.135,0.0091
Gaussian,40.04,0.9966,0.1242,0.0088
Gaussian,40.58,0.9973,0.1047,0.0092
Gaussian,40.81,0.997,0.1073,0.0096
Gaussian,40.13,0.996,0.1182,0.009
Gaussian,39.53,0.9946,0.1343,0.0091
Gaussian,39.85,0.9967,0.1274,0.009
Gaussian,40.5,0.9974,0.1162,0.0091
Gaussian,39.84,0.9967,0.1273,0.01
Gaussian,40.37,0.9964,0.1069,0.0096
Gaussian,39.52,0.9946,0.1342,0.009
Gaussian,39.86,0.9957,0.128,0.0096
Gaussian,40.67,0.9977,0.1023,0.0091
Gaussian,40.03,0.9962,0.1169,0.0093
Gaussian,39.53,0.9954,0.138,0.0092
Gaussian,40.54,0.9969,0.1117,0.0091
Gaussian,39.52,0.9947,0.1315,0.0088
Gaussian,40.59,0.9978,0.1044,0.009
Gaussian,40.11,0.9966,0.119,0.0091
Gaussian,39.72,0.9953,0.1283,0.0089
Gaussian,40.91,0.9975,0.107,0.009
Gaussian,39.68,0.9953,0.1305,0.0091
Gaussian,40.08,0.9966,0.1233,0.0089
Gaussian,40.03,0.9951,0.1189,0.0091
Gaussian,40.58,0.9973,0.1046,0.0091
Gaussian,40.19,0.9968,0.1176,0.009
Gaussian,39.98,0.9951,0.1197,0.009
Gaussian,40.28,0.9969,0.1147,0.0088
Gaussian,40.8,0.9965,0.1036,0.009
Gaussian,40.93,0.997,0.0991,0.0092
Gaussian,40.44,0.9973,0.1065,0.0091
Gaussian,40.25,0.9958,0.1097,0.0091
Gaussian,41.05,0.9967,0.102,0.0094
Gaussian,40.67,0.9966,0.1049,0.0096
Gaussian,41.14,0.9968,0.0984,0.0095
Gaussian,40.42,0.996,0.1146,0.0093
Gaussian,40.87,0.9969,0.0998,0.009
Gaussian,40.97,0.997,0.0981,0.0089
Gaussian,40.38,0.9965,0.1041,0.0089
Gaussian,39.71,0.9953,0.1143,0.009
Gaussian,40.61,0.9962,0.1114,0.0093
Gaussian,39.94,0.9955,0.1105,0.0092
Gaussian,40.28,0.9959,0.1094,0.0096
Gaussian,40.85,0.9968,0.1016,0.0096
Gaussian,40.65,0.9968,0.1021,0.0093
Gaussian,40.61,0.9968,0.1008,0.009
Gaussian,40.65,0.9968,0.1015,0.0091
Gaussian,40.97,0.9971,0.0985,0.0091
Gaussian,41.04,0.9968,0.0994,0.0093
Gaussian,40.54,0.9968,0.1001,0.0089
Gaussian,40.84,0.997,0.0997,0.0091
Gaussian,40.52,0.9968,0.1025,0.009
